"编号","开始答题时间","结束答题时间","答题时长","1.过去半年里，您在控制体重或改善体型方面处于什么状态?","2.您认真尝试控制体重大概有多久、试过几次?","3.回顾您所有的减脂尝试，效果最好的一次大概是什么情况?","4.回想您减脂""没坚持下去""或""没达到预期""的经历，您觉得最主要的原因是?","4.回想您减脂""没坚持下去""或""没达到预期""的经历，您觉得最主要的原因是?[选项填空]","5.在减脂这件事上，您过去实际接受过哪种外部指导?","6.当您决定开始（或重新开始）减脂时，您通常怎么准备?","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【自己做饭】在家自己买菜做饭","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【食堂】公司或学校食堂","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【外卖】外卖平台点餐","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【外出就餐】去餐厅、小吃店等","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【家人做饭】家人负责做饭","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【便利食品】便利店、预制餐、代餐等","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【自己做饭】在家自己买菜做饭","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【食堂】公司或学校食堂","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【外卖】外卖平台点餐","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【外出就餐】去餐厅、小吃店等","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【家人做饭】家人负责做饭","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【便利食品】便利店、预制餐、代餐等","9.您是否用过AI聊天工具（如ChatGPT、豆包、Kimi等）来咨询健康、饮食、情绪或其他个人问题?","9.您是否用过AI聊天工具（如ChatGPT、豆包、Kimi等）来咨询健康、饮食、情绪或其他个人问题?[选项填空]","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【个性化】是否针对我的具体情况，而不是给通用建议","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【专业性】是否有科学依据或专业知识支撑","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【记忆力】是否记得我之前说过的话和情况","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【态度】语气是否让我舒服，不会有压力或被审判感","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【可执行】能否给出我实际能做到的具体行动建议","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【交流风格】交流方式让我感到舒服","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【不确定】体验不多，说不好","11.您目前的居住情况?","12.对于健康或运动类App的推送通知（比如提醒你记录饮食、该运动了等），您更希望怎样?","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:A.手机App（独立应用）","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:B.微信小程序","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:C.手机网页","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:D.电脑网页","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:E.其他____","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:E.其他____[选项填空]","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:A.手机App（独立应用）","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:B.微信小程序","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:C.手机网页","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:D.电脑网页","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:E.其他____","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:E.其他____[选项填空]","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【社交媒体】刷或搜小红书、抖音、B站、微信等平台的相关内容","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【搜索引擎】在百度、Google等搜索具体问题","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【问AI】用ChatGPT、豆包、Kimi等AI工具咨询","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【问身边人】问朋友、家人或同事","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【专业人士】咨询医生、营养师或教练","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【不太找】基本不主动找信息，凭自己感觉和经验","16.过去一年中，在控制体重这件事上，您大概花了多少钱（人民币）?","17.您的性别","18.您的年龄段","19.您目前所在城市属于哪一类?","20.您日常最常使用的内容平台是?:小红书","20.您日常最常使用的内容平台是?:抖音","20.您日常最常使用的内容平台是?:微信公众号/视频号","20.您日常最常使用的内容平台是?:B站","20.您日常最常使用的内容平台是?:知乎","20.您日常最常使用的内容平台是?:微博","20.您日常最常使用的内容平台是?:其他 ____","20.您日常最常使用的内容平台是?:其他 ____[选项填空]","21.您觉得以下哪个描述最接近您目前的体重状况?","22.您如何评价您在当下或近期的减肥/减脂/体重管理意愿强度？","23.如果您曾认真跟着某个人的建议（私教、营养师、朋友或网上方法）减脂过，请说说：他们做了什么让您坚持下来?或者为什么后来没坚持下来?","24.我们正在开发一款AI行为教练减脂产品，近期将邀请少量用户免费优先体验。体验前会进行一次10-15分钟的简短沟通（线上），了解您的真实需求，确保产品对您有帮助。如果您感兴趣，请留下微信号，我们会单独联系您。","25.如果您知道自己的MBTI类型，请选择","26.请简要描述最近一次您""本来不打算吃/喝但还是吃了""的经历——当时什么时间、什么场景、事后怎么想的?（3-5句话即可）","27.如果您曾认真跟着某个人的建议（私教、营养师、朋友或网上方法）减脂过，请说说：他们做了什么让您坚持下来?或者为什么后来没坚持下来?","28.我们正在开发一款AI行为教练减脂产品，近期将邀请少量用户免费优先体验。体验前会进行一次15-20分钟的简短沟通（线上或线下），了解您的真实需求，确保产品对您有帮助。如果您感兴趣，请留下联系方式（微信号），我们会单独联系您。","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","用户类型","用户标识","昵称","自定义字段","IP","UA","Referrer","投放名称","配额分组名称",
"79","17-Apr-2026 09:15:06","17-Apr-2026 09:20:52","346","B.【断断续续】时有时无，没有稳定执行","C.【中期少次】1-3年，1-2次","C.【效果有限】有一点效果，但离目标还很远","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","C.【直接行动】不太做计划，想到就开始，边做边调整","6","4","3","2","1","5","5","4","1","3","6","2","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","D.【低频】一周几次就够了，太频繁会关掉","1","2","3","4","","","1","2","3","4","","","1","5","2","4","3","6","D.【三千到一万】（不含一万）","A.男","D.41岁以上","C.【二线及以下】其他城市","A.小红书","B.抖音","","","","","","","A.【大基数】明显超重，想减的体重较多（15斤以上）","9","因为加班，出差等原因，间断了锻炼，后续很难再继续坚持","","D.ENTP","晚上下班，同事提出聚餐，不想去又不去不合适","同事坚持跑步，每月100公里","	13942011303","简体中文","未清洗","","中国","辽宁省","大连市","微信","o86_0juvDSzYGXolDlLP5JIidUnU","陈炜丰","","2409:8915:20a5:35a5:288d:a5ff:fe99:fb29","Mozilla/5.0 (Linux; Android 16; MBH-AN10 Build/HONORMBH-AN10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36 XWEB/1460055 MMWEBSDK/20260202 MMWEBID/438 REV/720277cc53567bd044b8e7b4a57e97672f3fc295 MicroMe","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"78","17-Apr-2026 09:16:24","17-Apr-2026 09:20:51","267","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","E.【长期少次】3年以上，1-2次","C.【效果有限】有一点效果，但离目标还很远","C.【看不到效果】坚持了一段时间，但看不到明显变化，慢慢就放弃了","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","1","3","4","6","2","5","6","4","3","1","5","2","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","1","4","5","2","3","6","7","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","1","2","3","4","","","1","","2","3","","","1","4","3","2","5","6","B.【数百元】","A.男","C.31-40岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","B.抖音","C.微信公众号/视频号","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","9","","","Q.不知道","本来不想喝排骨汤，但是还是喝了","吃健康饮食，坚持锻炼","无","简体中文","未清洗","","中国","天津市","天津市","微信","o86_0jgyfIMqA3WQbDJTtloVkFWA","HAKU","","2408:8410:6000:6e08:a42a:7f1d:cc41:1891","Mozilla/5.0 (Linux; Android 10; HLK-AL00 Build/HONORHLK-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20250503 MMWEBID/2584 MicroMessenger/8.0.62.2900(0x28003E39) WeChat/arm64","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"77","17-Apr-2026 09:15:01","17-Apr-2026 09:20:50","349","C.【已经停下】试过，但目前没有在坚持","A.【短期少次】不到1年，1-2次","E.【未能坚持】还没坚持到能看见效果就中断了","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","D.【搜集信息】先大量搜集信息和方法，做足功课再开始行动","3","1","2","5","6","4","6","5","2","3","1","4","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","3","1","4","6","2","5","","A.【独居】一个人住","C.【适度】每天1-2次，帮我保持节奏","2","1","3","4","","","2","3","4","1","","","1","3","2","4","5","","B.【数百元】","B.女","B.25-30岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","B.抖音","","","","","","","C.【小基数】体重基本正常范围，想更精致或改善线条（5斤以内或塑形为主）","5","工作好累","","G.ENFJ","晚上刷牙了但是刷手机看到吃播了。后面想的是晚上的大数据真可怕","要自己做减脂餐。工作好累","不想留","简体中文","未清洗","","中国","湖北省","武汉市","微信","o86_0jkhTJpNhriiAOhQbTfDnf3I","👈🐉","","240e:45c:c20:6793:e5d6:a922:f9cf:2688","Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.70(0x1800463a) NetType/4G Language/zh_CN","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"76","17-Apr-2026 09:17:40","17-Apr-2026 09:20:50","190","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","A.【短期少次】不到1年，1-2次","C.【效果有限】有一点效果，但离目标还很远","C.【看不到效果】坚持了一段时间，但看不到明显变化，慢慢就放弃了","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","D.【搜集信息】先大量搜集信息和方法，做足功课再开始行动","","","","","1","","","","","1","","","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","3","1","4","2","","","2","1","3","4","","","2","1","3","5","4","6","B.【数百元】","B.女","D.41岁以上","C.【二线及以下】其他城市","","B.抖音","C.微信公众号/视频号","","","","","","C.【小基数】体重基本正常范围，想更精致或改善线条（5斤以内或塑形为主）","10","无","无","E.INFJ","无","无","无","简体中文","未清洗","","中国","宁夏回族自治区","银川市","微信","o86_0juxFKxz-AjZMZvxZQwrJ9Rc","红袖添香","","2409:897a:1ed0:492f:5cf5:70ff:fe9d:a2b4","Mozilla/5.0 (Linux; Android 13; PFJM10 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20260202 MMWEBID/5887 MicroMessenger/8.0.70.3060(0x2800463C) WeChat/arm64","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"75","17-Apr-2026 09:17:25","17-Apr-2026 09:20:46","201","B.【断断续续】时有时无，没有稳定执行","A.【短期少次】不到1年，1-2次","A.【成功维持】达到了目标体重或体型，并维持了3个月以上","E.【慢慢松懈】没什么具体原因，就是逐渐不那么在意了，不知不觉就停了","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","1","2","3","6","5","4","6","4","3","1","5","2","E.【经常依赖】经常用AI聊个人问题，已经当作一个可信赖的参考来源","","1","2","3","4","6","7","5","C.【合住】与室友或同学合住（含宿舍）","C.【适度】每天1-2次，帮我保持节奏","4","1","2","3","5","	1","1","2","3","","","","1","","","","","","B.【数百元】","B.女","A.18-24岁","A.【一线】北京、上海、广州、深圳","A.小红书","B.抖音","","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","","","R.不愿透露","夜宵，想吃就吃了","觉得有用","我","简体中文","未清洗","","中国","广东省","茂名市","微信","o86_0joAbvnDcJRbkyAItq25kH6I","炒冰机","","2408:8459:8050:980f:cc17:411f:35ec:c351","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.70(0x1800463a) NetType/WIFI Language/zh_CN","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"74","17-Apr-2026 09:12:09","17-Apr-2026 09:20:41","512","B.【断断续续】时有时无，没有稳定执行","F.【长期多次】3年以上，3次以上","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","D.【一次就崩】一次没控制住之后，就很难重新开始，容易越来越松","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","2","1","4","6","3","5","3","2","5","4","1","6","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","3","1","5","4","2","6","","B.【与伴侣/家人同住】和伴侣或家人住在一起","B.【中频】每天3-5次，只要内容有用就欢迎","2","1","3","4","","","1","2","3","4","","","3","5","1","4","2","","D.【三千到一万】（不含一万）","B.女","C.31-40岁","A.【一线】北京、上海、广州、深圳","","B.抖音","","","","F.微博","","","A.【大基数】明显超重，想减的体重较多（15斤以上）","8","郑多燕，视频节奏比较好，自己比较三分钟热度，","","D.ENTP","路边看到麻辣烫，看别人吃很香，本来家里吃饭了，还没忍住，又点了麻辣烫，事后后悔了","郑多燕这样的视频，公司有组织八段锦。后面例假缺席几次就没跟上了","	18073884979","简体中文","未清洗","","中国","广东省","深圳市","微信","o86_0jn_X2Y1l2hbv5DoEHdVwtKQ","闻风相悦","","113.102.128.109","Mozilla/5.0 (Linux; Android 16; 24115RA8EC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36 XWEB/1460055 MMWEBSDK/20260201 MMWEBID/4015 MicroMessenger/8.0.69.3040(0x2800455E) WeCha","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"73","17-Apr-2026 09:14:45","17-Apr-2026 09:20:36","351","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","A.【短期少次】不到1年，1-2次","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","C.【看不到效果】坚持了一段时间，但看不到明显变化，慢慢就放弃了","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","6","1","2","3","5","4","6","2","1","3","5","4","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","6","7","4","3","2","5","1","C.【合住】与室友或同学合住（含宿舍）","A.【高频】每天6次以上，只要内容有用就欢迎","1","","","","","","1","","","","","","1","4","2","3","5","6","B.【数百元】","B.女","A.18-24岁","C.【二线及以下】其他城市","A.小红书","B.抖音","","","","","","","C.【小基数】体重基本正常范围，想更精致或改善线条（5斤以内或塑形为主）","8","她们运动后的效果
因为自己练了没有很大的效果","jisuandy-25","Q.不知道","晚上9点多 在宿舍里 事后很后悔","她们的效果很明显","jisuandy-25","简体中文","未清洗","","中国","福建省","厦门市","微信","o86_0jmQJ6L2HgFrGJ3wq_T87jdY","微信用户","","240e:466:2161:952d:90fd:c506:79d0:291b","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.69(0x18004539) NetType/4G Language/zh_CN miniProgram/wxf7ee2adef29032d1","https://wj.qq.com/channel/sample.html?sid=26364690&hash=7a3f&is_self=1","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"72","17-Apr-2026 09:11:12","17-Apr-2026 09:20:28","556","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","C.【中期少次】1-3年，1-2次","C.【效果有限】有一点效果，但离目标还很远","E.【慢慢松懈】没什么具体原因，就是逐渐不那么在意了，不知不觉就停了","","B.【跟过身边人】认真按朋友或家人的建议执行过","C.【直接行动】不太做计划，想到就开始，边做边调整","2","1","5","4","3","6","6","4","1","3","5","2","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","1","2","5","4","3","6","7","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","1","3","2","4","5","Al","1","3","2","4","","","3","4","5","2","1","6","B.【数百元】","A.男","D.41岁以上","C.【二线及以下】其他城市","A.小红书","B.抖音","C.微信公众号/视频号","D.B站","E.知乎","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","","","R.不愿透露","喜欢美食，欲罢不能，热爱生活。","以身作则，完美体型，阳光帅气。","无","简体中文","未清洗","","中国","吉林省","四平市","微信","o86_0jluTTsrYnFsJbEDyym5DmUw","天罡星","","2409:8a18:3c06:5fb0:1c16:8e80:dfad:dc3e","Mozilla/5.0 (Linux; Android 16; ELP-AN00 Build/HONORELP-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20260202 MMWEBID/5234 MicroMessenger/8.0.70.3060(0x2800463A) WeChat/arm64","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"71","17-Apr-2026 09:12:18","17-Apr-2026 09:20:05","467","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","C.【中期少次】1-3年，1-2次","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","E.【慢慢松懈】没什么具体原因，就是逐渐不那么在意了，不知不觉就停了","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","4","2","3","1","5","6","1","5","2","3","4","6","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","4","3","2","1","5","6","7","B.【与伴侣/家人同住】和伴侣或家人住在一起","B.【中频】每天3-5次，只要内容有用就欢迎","1","4","3","2","","","1","4","2","3","","","3","4","2","5","1","6","D.【三千到一万】（不含一万）","B.女","C.31-40岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","B.抖音","","","E.知乎","F.微博","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","没有恒心，","	6486379","C.ENTJ","美食难得","对健康养生作用不大","	653780","简体中文","未清洗","","中国","浙江省","杭州市","微信","o86_0jgyVzH8B8Z1bEapfok2ptrg","你说了不算","","112.10.246.208","Mozilla/5.0 (Linux; Android 7.0; PRA-AL00 Build/HONORPRA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.0.0 Mobile Safari/537.36 XWEB/1160253 MMWEBSDK/20260201 MMWEBID/1904 MicroMessenger/8.0.69.3040(0x2800455E) WeChat/arm64 Wei","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"70","17-Apr-2026 09:16:30","17-Apr-2026 09:20:05","215","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","D.【中期多次】1-3年，3次以上","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","B.【跟过身边人】认真按朋友或家人的建议执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","1","2","5","6","3","4","5","4","1","2","6","3","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","2","1","3","4","5","6","7","B.【与伴侣/家人同住】和伴侣或家人住在一起","A.【高频】每天6次以上，只要内容有用就欢迎","1","2","3","4","","","1","2","3","4","","","1","2","3","4","5","6","C.【一千到三千】（不含三千）","A.男","A.18-24岁","A.【一线】北京、上海、广州、深圳","A.小红书","B.抖音","","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","9","每天吃减脂餐，太难吃了","","B.INTP","后悔","难吃","	15398845127","简体中文","未清洗","","中国","广东省","广州市","微信","o86_0jspVVKXqm0P-UbzUuzRegZY","小户川羊驼","","240e:47c:cb2:3eb:5305:27b6:6d55:32b","Mozilla/5.0 (Linux; Android 16; RMX5010 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20260202 MMWEBID/6996 MicroMessenger/8.0.70.3060(0x2800463F) WeChat/arm6","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"69","17-Apr-2026 09:11:25","17-Apr-2026 09:20:05","520","B.【断断续续】时有时无，没有稳定执行","A.【短期少次】不到1年，1-2次","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","B.【跟过身边人】认真按朋友或家人的建议执行过","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","5","6","4","3","1","2","6","4","1","2","5","3","E.【经常依赖】经常用AI聊个人问题，已经当作一个可信赖的参考来源","","2","1","6","3","5","4","7","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","1","2","3","4","5","家人提醒","1","2","3","4","5","无","3","5","1","2","4","6","B.【数百元】","A.男","C.31-40岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","B.抖音","C.微信公众号/视频号","","","","","","C.【小基数】体重基本正常范围，想更精致或改善线条（5斤以内或塑形为主）","3","因为工作繁忙，没办法有节奏的去制定减脂计划","	17802596857","G.ENFJ","上周五，半夜十点，本来打算睡觉，但肚子很饿，忍不住点了外卖，吃完就后悔了，又要胖了，但肚子饿的真难受","由于工作繁忙，没能有节奏的制定计划","	17802596857","简体中文","未清洗","","中国","江苏省","无锡市","微信","o86_0jjsw9WumqCvCK3WJwqbUEf8","侯胖胖","","2409:8924:183e:abe:48bd:988e:158e:36c4","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.70(0x18004639) NetType/4G Language/zh_CN","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"68","17-Apr-2026 09:16:18","17-Apr-2026 09:20:01","223","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","E.【长期少次】3年以上，1-2次","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","2","","4","3","1","","","","3","1","2","","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","2","1","4","5","3","6","","B.【与伴侣/家人同住】和伴侣或家人住在一起","B.【中频】每天3-5次，只要内容有用就欢迎","1","3","4","2","","","1","3","4","2","","","2","3","1","4","","","B.【数百元】","A.男","D.41岁以上","A.【一线】北京、上海、广州、深圳","A.小红书","B.抖音","","D.B站","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","6","相亲有动力，靠节食和锻炼坚持","	44167815","C.ENTJ","KFC，不想吃，但加班大家一起吃没办法","每天做操，因为疫情原因，搬离住处没有条件了","	44167815","简体中文","未清洗","","中国","广东省","广州市","微信","o86_0jl-68y_XvMxPYS-1P1IBezc","草食系","","14.145.11.89","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 MicroMessenger/7.0.20.1781(0x6700143B) NetType/WIFI MiniProgramEnv/Windows WindowsWechat/WMPF WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
